municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 00:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 01:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 02:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 03:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 04:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 05:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 06:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 07:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 08:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 09:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 10:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 11:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 12:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 13:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 14:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 15:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 16:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-01 17:10:00.0;chuva;0.00;
