 PRES; HGHT; TEMP; DWPT 
932.0;722; 25.0; 21.8 
925.0;785; 24.6; 21.3 
881.0; 1410; 22.0;19.6 
850.0; 1521; 21.2;17.6 
809.0; 1531; 20.0;11.4 
747.0; 2618; 15.2;9.4 
700.0; 3170; 9.6;6.4 
653.0; 3744; 5.8;2.9 
555.0; 5062; -0.5; -6.5 
542.0; 5251; -0.9;-10.9 
500.0; 5890; -5.3;-12.3 
470.0; 6370; -8.6;-14.2 
429.0; 7078;-13.5;-17.1 
422.0; 7203;-14.2;-18.6 
400.0; 7610;-16.3;-23.3 
384.0; 7917;-18.3;-29.3 
374.0; 8113;-19.2;-27.7 
364.0; 8315;-20.1;-26.1 
360.0; 8397;-20.8;-26.4 
340.0; 8818;-24.3;-28.0 
333.0; 8969;-25.4;-29.3 
315.0; 9371;-28.3;-32.9 
309.0; 9509;-29.3;-39.3 
300.0; 9720;-30.7;-37.7 
298.0; 9767;-30.9;-35.4 
295.0; 9838;-31.1;-37.1 
285.0;10079;-33.3;-38.5 
270.0;10455;-36.7;-40.6 
255.0;10845;-39.7;-45.9 
250.0;10980;-40.7;-47.7 
237.0;11341;-43.9;-52.5 
234.0;11427;-44.7;-53.7 
226.0;11657;-46.6;-54.4 
209.0;12175;-50.9;-55.9 
200.0;12460;-53.5;-59.5 
194.0;12654;-55.1;-61.5 
186.0;12923;-57.3;-64.3 
172.0;13408;-61.0;-67.6 
165.0;13666;-63.0;-69.3 
158.0;13935;-65.1;-71.1 
150.0;14250;-66.7;-74.7 
147.0;14371;-67.1;-75.8 
135.0;14881;-68.7;-80.7 
128.0;15200;-69.7;-83.7 
120.0;15574;-72.4;-86.4 
111.0;16026;-75.6;-89.6 
101.0;16574;-79.5;-93.5 
100.0;16630;-79.5;-93.5 
92.0;17104;-78.6;-92.6 
89.5;17261;-78.3;-92.3 
86.0;17485;-79.6;-93.3 
77.9;18043;-82.9;-95.9 
76.0;18183;-81.1;-94.3 
70.0;18650;-75.1;-89.1 
69.0;18734;-74.7;-89.3 
66.0;18993;-73.3;-90.0 
65.6;19028;-73.1;-90.1 
64.0;19173;-73.4;-91.3 
62.0;19359;-73.9;-92.8 
61.8;19377;-73.9;-92.9 
57.0;19856;-70.0;-91.9 
55.2;20045;-68.5;-91.5 
53.0;20290;-68.1;-93.1 
50.0;20640;-67.5;-95.5 
48.0;20893;-66.6;-94.9 
47.0;21023;-66.2;-94.7 
46.0;21156;-65.7;-94.4 
43.0;21573;-64.2;-93.4 
42.0;21719;-63.8;-93.1 
40.0;22020;-62.7;-92.4 
34.0;23026;-59.2;-90.2 
30.0;23800;-56.5;-88.5 
29.4;23928;-56.5;-88.5 
24.6;25075;-50.1;-84.1 
24.3;25155;-50.3;-84.3
